City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
227,Iguala,MX,83.64,clear sky,18.3438,-99.5372,Gran Plaza Hotel Centro Historico
229,Monrovia,LR,89.37,light rain,6.3005,-10.7969,Sunset Inn
231,Praia,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
232,Cayenne,GF,87.84,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
233,Kirakira,SB,78.71,overcast clouds,-10.4544,161.9205,SanBiz Lodge
238,Mahebourg,MU,74.25,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
241,Villa Union,MX,82.9,clear sky,23.2,-106.2333,My Fantasy Auto-Hotel
243,Marsh Harbour,BS,74.03,overcast clouds,26.5412,-77.0636,Abaco Beach Resort
247,Sao Joao Da Barra,BR,82.49,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
248,Busilac,PH,72.12,broken clouds,16.477,121.1186,Tatins Resort
250,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
252,Malpe,IN,78.1,overcast clouds,13.35,74.7167,Hotel Sri Krishna Residency
253,Praya,CV,79.34,few clouds,14.9215,-23.5087,LT Aparthotel
254,Arrecife,ES,75.18,scattered clouds,28.963,-13.5477,Hotel Lancelot
256,Kulhudhuffushi,MV,81.75,broken clouds,6.6221,73.07,Haajy Guest House 1
259,Umm Lajj,SA,77.76,clear sky,25.0213,37.2685,Moon light Furnished Units
260,Srivardhan,IN,79.32,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
264,Mutoko,ZW,75.04,light rain,-17.397,32.2268,Mutoko Hotel
265,Booue,GA,75.92,light rain,-0.0921,11.9385,Splendeur de l'équateur
266,Dingle,PH,75.88,broken clouds,10.9995,122.6711,SEGAYA PROPERTY
268,Dondo,MZ,80.11,overcast clouds,-19.6094,34.7431,Arco Iris
269,Iquitos,PE,89.64,scattered clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
270,Puerto Parra,CO,89.44,overcast clouds,6.6515,-74.0573,Casa Hotel Villa Johana
271,Harper,LR,83.48,scattered clouds,4.375,-7.7169,Screensaver
272,Caravelas,BR,84.22,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
273,Sibolga,ID,76.69,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
274,Salalah,OM,78.89,scattered clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
280,Namibe,AO,72.57,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
284,La Orilla,MX,82.96,clear sky,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
291,Mapastepec,MX,87.69,overcast clouds,15.4333,-92.9,Hotel San Carlos
295,Bubaque,GW,84.6,scattered clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
297,Lorengau,PG,81.19,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
299,Saint-Pierre,RE,76.68,clear sky,-21.3393,55.4781,Lindsey Hôtel
303,Santa Isabel Do Rio Negro,BR,89.65,scattered clouds,-0.4139,-65.0192,Hotel GSA
306,Wajid,SO,85.39,overcast clouds,3.8093,43.2471,xamdihotelresturant114
309,Cabedelo,BR,86.67,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
310,Tabuk,PH,73.71,overcast clouds,17.4189,121.4443,Golden Berries Hotel and Convention
311,Kaohsiung,TW,74.03,few clouds,22.6163,120.3133,御宿商旅-中山館
312,Roebourne,AU,79.57,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
327,Coahuayana,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
328,Teknaf,BD,73.22,clear sky,20.8624,92.3058,Forestry Guesthouse
335,Saint-Paul,RE,77.11,few clouds,-21.0096,55.2707,Boucan Canot
338,Uberaba,BR,72.99,overcast clouds,-19.7483,-47.9319,Tamareiras Park Hotel
339,Bako,ET,71.02,scattered clouds,5.7833,36.5667,Goh Hotel
341,Adjumani,UG,75.4,scattered clouds,3.3779,31.7909,Hotel Zawadi
342,Bull Savanna,JM,83.5,overcast clouds,17.8868,-77.5902,Big Red's
344,Quelimane,MZ,79.66,clear sky,-17.8786,36.8883,Hotel Flamingo
345,Lafia,NG,89.58,clear sky,8.4833,8.5167,Low Cost Housing Estate
346,Basco,PH,79.81,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
348,Viedma,AR,77.13,clear sky,-40.8135,-62.9967,Hotel Cristal
350,Sao Filipe,CV,77.61,overcast clouds,14.8961,-24.4956,Hotel Xaguate
352,Oistins,BB,87.89,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
356,Chuy,UY,75.42,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
360,Seminole,US,81.23,scattered clouds,28.7086,-81.2081,Ono Hot Dog Cart and Catering
361,Kudahuvadhoo,MV,82.87,few clouds,2.6708,72.8944,Niyama Private Islands Maldives
367,Waingapu,ID,81.0,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
370,Todos Santos,MX,81.01,clear sky,23.45,-110.2167,Hotel California Todos Santos
373,Ipixuna,BR,85.95,broken clouds,-1.7625,-48.8043,Casa da Oscarina
377,Guiratinga,BR,72.19,overcast clouds,-16.3494,-53.7583,Hotel Angra do Cerrado - Guiratinga MT
381,Arlit,NE,86.67,broken clouds,18.7369,7.3853,Case de Passage De la Prefecture
385,Anloga,GH,84.22,clear sky,5.7947,0.8973,Pin Drop Hotel
391,Port-Gentil,GA,80.8,light rain,-0.7193,8.7815,Fengshui Residence
392,Meulaboh,ID,76.6,overcast clouds,4.1363,96.1285,Kost Pria
397,Puerto Escondido,MX,85.03,few clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
398,Ugoofaaru,MV,81.91,broken clouds,5.6667,73.0,Ungoofaaru Inn
401,Ribas Do Rio Pardo,BR,70.36,overcast clouds,-20.4431,-53.7592,Pousada Avenida
403,Jacqueville,CI,85.91,light rain,5.2052,-4.4146,Hotel Le Martin Pecheur
408,Porto Nacional,BR,89.6,broken clouds,-10.7081,-48.4172,Vila Real Hotel
410,Veraval,IN,80.15,overcast clouds,20.9,70.3667,Lords Inn Somnath
412,Bibiani,GH,83.41,scattered clouds,6.4635,-2.3194,Rodick Hotel
418,Singaraja,ID,77.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
423,Jeremie,HT,84.43,broken clouds,18.65,-74.1167,Auberge’Inn
429,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
431,Amalapuram,IN,79.18,overcast clouds,16.5833,82.0167,swayamprabha service apartments
438,Auki,SB,77.52,overcast clouds,-8.7676,160.7034,Auki Motel
441,Mananjary,MG,76.53,clear sky,-21.2167,48.3333,Vahiny Lodge
444,Bonthe,SL,82.81,light rain,7.5264,-12.505,Bonthe Holiday Village
445,Banyo,CM,76.23,broken clouds,6.75,11.8167,Motel JOMBA
449,Muisne,EC,78.91,overcast clouds,0.6,-80.0333,Quinta Samay
450,Pasni,PK,72.1,clear sky,25.2631,63.471,Kashmiri Hotal
451,Punta Gorda,US,82.99,clear sky,26.9298,-82.0454,Four Points by Sheraton Punta Gorda Harborside
452,Manokwari,ID,78.78,broken clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
456,Roura,GF,87.71,clear sky,4.7263,-52.3274,Amazonie Découverte SARL
459,Mayumba,GA,79.14,light rain,-3.432,10.6554,LIKWALE LODGE
464,Barkly West,ZA,72.68,clear sky,-28.5354,24.5215,Stafford Parker Guest House
471,San-Pedro,CI,82.81,few clouds,4.7485,-6.6363,Hotel Maria
472,Puri,IN,73.92,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
473,Biak,ID,77.11,overcast clouds,-0.9131,122.8766,Penginapan Kim
475,Port Blair,IN,80.76,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
476,Pochutla,MX,89.82,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
481,Mitsamiouli,KM,79.97,few clouds,-11.3847,43.2844,Foyer ADM
484,Acara,BR,89.28,scattered clouds,-1.9608,-48.1967,Hotel Vale do Acará
486,Mumford,GH,82.74,scattered clouds,5.2618,-0.759,Spanish Villa
488,Kualakapuas,ID,75.36,overcast clouds,-3.0091,114.3876,Guest House Izonk
491,San Fernando,PH,82.42,overcast clouds,15.0286,120.6898,Maharlika Hostel
493,Hadejia,NG,89.08,clear sky,12.4498,10.0444,Kasuwar Kuda Hadejia General Hospital Road
498,Safaga,EG,72.97,clear sky,26.7292,33.9365,Lamar Resort Abu Soma
501,Itoman,JP,71.62,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
504,Kilindoni,TZ,80.62,few clouds,-7.9139,39.6668,Bustani B&B
507,Jacareacanga,BR,88.11,broken clouds,-6.2222,-57.7528,Casa do Ian😎
509,Kuching,MY,75.42,moderate rain,1.55,110.3333,The Ranee Boutique Suites
512,Wanning,CN,75.38,overcast clouds,18.8003,110.3967,Paradise Hotel
513,Morant Bay,JM,89.22,broken clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
514,Akyab,MM,77.99,clear sky,20.15,92.9,Hotel Memory
516,Santa Maria,BR,77.72,clear sky,-29.6842,-53.8069,Hotel Morotin
520,Petatlan,MX,89.4,few clouds,17.5167,-101.2667,Hotel California Petatlán
522,Nirmal,IN,74.41,overcast clouds,19.1,78.35,Hotel Mayuri
524,Vanimo,PG,78.22,light rain,-2.6741,141.3028,Vahmoneh Lodge Vanimo
526,Rawson,AR,75.97,clear sky,-43.3002,-65.1023,Hosteria Sampedro
527,Pucallpa,PE,80.64,broken clouds,-8.3791,-74.5539,Hospedaje Komby
