City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
280,Namibe,AO,-15.1961,12.1522,72.57,74,10,15.64,clear sky
281,Iqaluit,CA,63.7506,-68.5145,24.53,62,90,4.61,light snow
282,Bonavista,CA,48.6499,-53.1147,47.12,91,100,30.65,light rain
283,Atar,MR,20.5169,-13.0499,91.85,20,19,3.53,few clouds
284,La Orilla,MX,17.9833,-102.2333,82.96,55,4,0.72,clear sky
285,Broome,US,42.2506,-75.833,42.01,64,90,5.99,overcast clouds
286,Los Llanos De Aridane,ES,28.6585,-17.9182,65.95,73,20,5.99,volcanic ash
287,Ustye,RU,59.6304,39.736,32.07,90,100,11.74,overcast clouds
288,Lere,NG,10.387,8.5726,81.28,24,3,6.35,clear sky
289,Pridonskoy,RU,51.6841,39.0727,34.36,93,90,4.47,mist
290,Lavrentiya,RU,65.5833,-171.0,4.46,84,6,6.15,clear sky
291,Mapastepec,MX,15.4333,-92.9,87.69,57,99,2.91,overcast clouds
292,Mogapinyana,BW,-22.3667,27.6,75.69,55,57,15.5,light rain
293,Camacha,PT,33.0833,-16.3333,63.82,63,20,8.05,few clouds
294,Ponta Delgada,PT,37.7333,-25.6667,66.92,59,40,8.05,scattered clouds
295,Bubaque,GW,11.2833,-15.8333,84.6,58,25,7.94,scattered clouds
296,Korla,CN,41.7597,86.1469,30.63,25,39,11.99,scattered clouds
297,Lorengau,PG,-2.0226,147.2712,81.19,70,100,2.13,overcast clouds
298,Carire,BR,-3.9506,-40.4733,99.77,25,36,7.65,scattered clouds
299,Saint-Pierre,RE,-21.3393,55.4781,76.68,63,0,0.0,clear sky
300,Te Anau,NZ,-45.4167,167.7167,52.23,92,100,7.23,overcast clouds
301,Ulagan,RU,50.6321,87.9563,-2.13,99,99,2.51,overcast clouds
302,Flinders,AU,-34.5833,150.8552,64.2,91,100,1.01,light rain
303,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,89.65,60,46,1.63,scattered clouds
304,Cherskiy,RU,68.75,161.3,-8.93,95,24,4.14,few clouds
305,Rabo De Peixe,PT,37.8,-25.5833,65.71,59,40,8.05,scattered clouds
306,Wajid,SO,3.8093,43.2471,85.39,45,87,8.88,overcast clouds
307,Nanortalik,GL,60.1432,-45.2371,27.1,67,100,5.14,overcast clouds
308,Yerbogachen,RU,61.2767,108.0108,0.27,98,100,5.17,overcast clouds
309,Cabedelo,BR,-6.9811,-34.8339,86.67,61,90,13.8,overcast clouds
310,Tabuk,PH,17.4189,121.4443,73.71,88,92,4.52,overcast clouds
311,Kaohsiung,TW,22.6163,120.3133,74.03,89,12,1.01,few clouds
312,Roebourne,AU,-20.7833,117.1333,79.57,58,11,11.16,few clouds
313,Vardo,NO,70.3705,31.1107,37.38,87,75,6.91,light intensity drizzle
314,Saint-Augustin,CA,51.226,-58.6502,40.82,99,100,4.97,overcast clouds
315,Beyneu,KZ,45.3167,55.2,28.85,68,100,16.84,overcast clouds
316,Makuyuni,TZ,-4.7333,38.1,78.42,65,4,4.41,clear sky
317,Qostanay,KZ,53.1667,63.5833,23.29,86,90,17.9,overcast clouds
318,Evensk,RU,61.95,159.2333,20.61,90,100,20.11,light snow
319,Olga,RU,43.7444,135.2892,29.39,64,6,9.13,clear sky
320,Longyearbyen,SJ,78.2186,15.6401,10.24,61,20,20.71,few clouds
321,Port Macquarie,AU,-31.4333,152.9167,67.96,89,95,8.59,overcast clouds
322,Mosquera,CO,4.7059,-74.2302,68.09,45,40,6.91,scattered clouds
323,Coihaique,CL,-45.5752,-72.0662,64.35,45,75,11.5,broken clouds
324,Stawell,AU,-37.05,142.7667,45.66,85,100,8.79,overcast clouds
325,Albury,AU,-36.0833,146.9167,59.05,94,90,4.61,light rain
326,Fairbanks,US,64.8378,-147.7164,-9.76,75,1,0.0,clear sky
327,Coahuayana,MX,18.7333,-103.6833,89.08,37,2,1.14,clear sky
328,Teknaf,BD,20.8624,92.3058,73.22,73,6,8.93,clear sky
329,Ussel,FR,45.55,2.3167,40.35,76,3,1.95,clear sky
330,Wuwei,CN,37.9281,102.6414,30.81,43,37,5.12,scattered clouds
331,Umtata,ZA,-31.5889,28.7844,53.91,79,74,5.17,broken clouds
332,Ojinaga,MX,29.5667,-104.4167,63.57,30,1,0.0,clear sky
333,Hervey Bay,AU,-25.2986,152.8535,68.04,70,8,6.04,clear sky
334,Aksu,CN,41.1231,80.2644,32.95,40,0,1.88,clear sky
335,Saint-Paul,RE,-21.0096,55.2707,77.11,83,18,1.01,few clouds
336,Batsfjord,NO,70.6345,29.7185,37.4,100,90,2.3,mist
337,Rafaela,AR,-31.2503,-61.4867,95.05,14,0,1.01,clear sky
338,Uberaba,BR,-19.7483,-47.9319,72.99,77,96,10.87,overcast clouds
339,Bako,ET,5.7833,36.5667,71.02,52,31,3.27,scattered clouds
340,Hohhot,CN,40.8106,111.6522,31.59,61,87,5.5,overcast clouds
341,Adjumani,UG,3.3779,31.7909,75.4,60,36,5.32,scattered clouds
342,Bull Savanna,JM,17.8868,-77.5902,83.5,48,93,3.94,overcast clouds
343,Ketchikan,US,55.3422,-131.6461,36.07,93,90,4.61,light rain
344,Quelimane,MZ,-17.8786,36.8883,79.66,81,9,7.2,clear sky
345,Lafia,NG,8.4833,8.5167,89.58,31,10,3.31,clear sky
346,Basco,PH,20.4487,121.9702,79.81,77,91,15.97,overcast clouds
347,Seymchan,RU,62.8833,152.4333,-1.59,97,100,1.05,overcast clouds
348,Viedma,AR,-40.8135,-62.9967,77.13,29,4,12.01,clear sky
