City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
72,Saint George,US,2021-11-18 15:23:09,37.1041,-113.5841,48.67,44,1,3.44
73,Hilo,US,2021-11-18 15:27:23,19.7297,-155.09,77.29,96,90,0.0
74,Khatanga,RU,2021-11-18 15:27:23,71.9667,102.5,-35.19,95,6,3.65
75,Chok Chai,TH,2021-11-18 15:27:24,14.7284,102.1652,73.71,87,52,6.11
76,Ambilobe,MG,2021-11-18 15:27:24,-13.2,49.05,80.87,61,45,4.29
77,Hasaki,JP,2021-11-18 15:27:24,35.7333,140.8333,48.6,82,93,8.19
78,Potenza,IT,2021-11-18 15:27:25,40.6443,15.8086,53.92,81,100,1.99
79,Remigio,BR,2021-11-18 15:27:25,-6.9333,-35.7833,85.28,30,17,15.35
80,Thohoyandou,ZA,2021-11-18 15:27:26,-22.9456,30.485,95.99,21,36,8.34
81,Hualmay,PE,2021-11-18 15:27:26,-11.0964,-77.6139,68.07,73,63,7.85
82,Hermanus,ZA,2021-11-18 15:27:26,-34.4187,19.2345,67.89,54,0,9.15
83,Narsaq,GL,2021-11-18 15:27:27,60.9167,-46.05,26.82,85,100,3.56
84,Palmer,US,2021-11-18 15:27:27,42.1584,-72.3287,63.45,71,75,5.01
85,Cherskiy,RU,2021-11-18 15:27:28,68.75,161.3,5.14,84,43,7.63
86,Chuy,UY,2021-11-18 15:27:28,-33.6971,-53.4616,69.04,35,0,2.91
87,Santiago Del Estero,AR,2021-11-18 15:27:23,-27.7951,-64.2615,77.29,34,0,4.94
88,Sulangan,PH,2021-11-18 15:27:28,11.1373,123.7228,82.29,76,24,3.2
89,La Ligua,CL,2021-11-18 15:27:28,-32.4524,-71.2311,56.98,41,0,8.52
90,Saldanha,ZA,2021-11-18 15:27:29,-33.0117,17.9442,68.05,63,0,25.14
91,Yellowknife,CA,2021-11-18 15:28:29,62.456,-114.3525,22.41,100,90,10.36
92,Iqaluit,CA,2021-11-18 15:28:29,63.7506,-68.5145,17.33,79,75,0.0
93,Linqiong,CN,2021-11-18 15:28:30,30.4159,103.4609,51.62,84,100,3.51
94,Salinas,US,2021-11-18 15:28:30,36.6777,-121.6555,59.38,90,90,8.05
95,Ranong,TH,2021-11-18 15:28:30,9.9658,98.6348,77.0,92,99,3.94
96,Trofors,NO,2021-11-18 15:28:31,65.5333,13.4063,38.77,97,100,6.55
97,Tevaitoa,PF,2021-11-18 15:28:31,-16.7833,-151.5,79.97,68,98,18.54
98,Airai,TL,2021-11-18 15:28:31,-8.9266,125.4092,61.88,90,100,1.92
99,Bredasdorp,ZA,2021-11-18 15:28:32,-34.5322,20.0403,67.28,39,1,12.68
100,Roma,US,2021-11-18 15:26:03,43.2128,-75.4557,64.13,74,90,6.91
101,Vagur,FO,2021-11-18 15:28:32,61.4732,-6.8119,46.47,92,100,13.15
102,Yumen,CN,2021-11-18 15:28:32,40.2833,97.2,33.75,41,71,18.75
103,Culpeper,US,2021-11-18 15:23:38,38.5004,-77.9664,68.61,63,1,3.0
